_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000004463;17527;Бокорезы 160 мм, фосфатирование, трехкомпонентные рукоятки СИБРТЕХ 17527;Инструменты|Ручной инструмент|Бокорезы и кусачки;Инструменты|Ручной инструмент|Бокорезы и кусачки;СИБРТЕХ;"Бокорезы 160 мм, фосфатирование, трехкомпонентные рукоятки СИБРТЕХ 17527 имеют высокую прочность. Между рукоятками и шарниром есть зона для сжатия или расплющивания мягких металлов или наконечников.
Рукояти не скользят в ладонях и имеют удобную форму.";"Характеристики|Вид|бокорезы
Характеристики|Тип|Диагональные/Боковые
Характеристики|Длина, мм|160
Характеристики|Диэлектрическое покрытие|нет
Характеристики|Функция ""антистатик""|нет
Характеристики|Материал губок|углеродистая сталь
Характеристики|Рукоятки-чехлы|многокомпонентные
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/975628/1200x800/52118539.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/975628/1200x800/52118540.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/975628/1200x800/52118541.jpg;1;bokorezy-160-mm-fosfatirovanie-trehkomponentnye-rukojatki-sibrteh-17527
00000001573;73/6/3/1;Бокорезы 160мм, никелированные, двухкомпонентные рукоятки Вихрь 73/6/3/1;Инструменты|Ручной инструмент|Бокорезы и кусачки;Инструменты|Ручной инструмент|Бокорезы и кусачки;Вихрь;"Бокорезы 160мм, никелированные, двухкомпонентные рукоятки Вихрь 73/6/3/1 используются для работы с тонким листовым металлом, проводами или проволокой.
Изделие имеет высокую прочность и эргономичные рукоятки с упорами для пальцев.";"Характеристики|Вид|бокорезы
Характеристики|Тип|Диагональные/Боковые
Характеристики|Длина, мм|160
Характеристики|Диэлектрическое покрытие|нет
Характеристики|Функция ""антистатик""|нет
Характеристики|Материал губок|никелированная сталь
Характеристики|Рукоятки-чехлы|двухкомпонентные
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912699/1200x800/51926647.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912699/1200x800/51926648.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912699/1200x800/51926649.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912699/1200x800/54410298.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912699/1200x800/54410299.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912699/1200x800/54410300.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912699/1200x800/54410301.jpg;1;bokorezy-160mm-nikelirovannye-dvuhkomponentnye-rukojatki-vihr-73631
00000012025;17523;Бокорезы СИБРТЕХ 180 мм, двухкомпонентные рукоятки 17523;Инструменты|Ручной инструмент|Бокорезы и кусачки;Инструменты|Ручной инструмент|Бокорезы и кусачки;СИБРТЕХ;;"Характеристики|Вид|бокорезы
Характеристики|Тип|Диагональные/Боковые
Характеристики|Длина, мм|180
Характеристики|Диэлектрическое покрытие|нет
Характеристики|Функция ""антистатик""|нет
Характеристики|Материал губок|сталь 45
Характеристики|Рукоятки-чехлы|двухкомпонентные
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/1235334/1200x800/51225246.jpg;1;bokorezy-sibrteh-180-mm-dvuhkomponentnye-rukojatki-17523
00000005770;73/6/3/2;Бокорезы 180мм, никелированные, двухкомпонентные рукоятки Вихрь 73/6/3/2;Инструменты|Ручной инструмент|Бокорезы и кусачки;Инструменты|Ручной инструмент|Бокорезы и кусачки;Вихрь;"Бокорезы 180мм, никелированные, двухкомпонентные рукоятки Вихрь 73/6/3/2 удобны в использовании за счет рукояток изогнутой формы. Для пальцев перед зоной реза имеются специальные упоры.
Длина оптимальна для работы с проводами и проволокой средней твердости.";"Характеристики|Вид|бокорезы
Характеристики|Тип|Диагональные/Боковые
Характеристики|Длина, мм|180
Характеристики|Диэлектрическое покрытие|нет
Характеристики|Функция ""антистатик""|нет
Характеристики|Материал губок|никелированная сталь
Характеристики|Рукоятки-чехлы|двухкомпонентные
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/51358797.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/52952094.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/52952095.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/52952096.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_18846.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_18847.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_18848.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_18849.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_18850.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_18851.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_19964.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912700/1200x800/bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukoyatki-vihr-73-6-3-2_37976.jpg;1;bokorezy-180mm-nikelirovannye-dvuhkomponentnye-rukojatki-vihr-73632
00000000621;73/6/3/3;Бокорезы 200мм, никелированные, двухкомпонентные рукоятки Вихрь 73/6/3/3;Инструменты|Ручной инструмент|Бокорезы и кусачки;Инструменты|Ручной инструмент|Бокорезы и кусачки;Вихрь;"Бокорезы 200мм, никелированные, двухкомпонентные рукоятки Вихрь 73/6/3/3 представляют собой удобный инструмент для эффективной резки проводов и проволоки.
Эргономичные рукоятки с двухкомпонентными накладками не скользят в ладонях.";"Характеристики|Вид|бокорезы
Характеристики|Тип|Диагональные/Боковые
Характеристики|Длина, мм|200
Характеристики|Диэлектрическое покрытие|нет
Характеристики|Функция ""антистатик""|нет
Характеристики|Материал губок|никелированная сталь
Характеристики|Рукоятки-чехлы|двухкомпонентные
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912701/1200x800/51888966.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912701/1200x800/51888967.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912701/1200x800/51888968.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912701/1200x800/54410349.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912701/1200x800/54410350.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912701/1200x800/54410351.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/912701/1200x800/54410352.jpg;1;bokorezy-200mm-nikelirovannye-dvuhkomponentnye-rukojatki-vihr-73633
00000012772;23310-020;Болторез Зубр 200мм 23310-020;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;ЗУБР;Болторез 200мм ЗУБР 23310-020 предназначен для работы с небольшими стальными стержнями и проволокой диаметром до 2 мм и твёрдостью до 42 HRC. Высококачественная инструментальная сталь, из которой изготовлено изделие, гарантирует долгий срок службы. Размер инструмента составляет 200 мм.;"Характеристики|Диаметр прутка, мм|2
Характеристики|Материал губок|CrMo
Характеристики|Длина, мм|200
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/532758/1200x800/56915030.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/532758/1200x800/56915036.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/532758/1200x800/56915042.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/532758/1200x800/56915048.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/532758/1200x800/56915054.jpg;1;boltorez-zubr-200mm-23310-020
00000015007;78560;Болторез 1050 мм MATRIX 78560;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;MATRIX;Болторез 1050 мм MATRIX 78560 оснащен рычажным механизмом, что облегчает выполнение работ. Губки закалены до твердости 58–60 HRc, что обеспечивает быстрый и ровный рез. Рукоятки выполнены с резиновыми накладками - руки не будут скользить и меньше устанут.;"Характеристики|Диаметр прутка, мм|14
Характеристики|Рукоятки-чехлы|резиновые
Характеристики|Длина, мм|1050
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534725/1200x800/51085500.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534725/1200x800/51085501.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534725/1200x800/51085502.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534725/1200x800/51085503.jpg;1;boltorez-1050-mm-matrix-78560
00000001935;78570;"Болторез БАРС 300 мм, 12"" 78571";Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;БАРС;;"Характеристики|Материал губок|CrMo
Характеристики|Рукоятки-чехлы|двухкомпонентные
Характеристики|Длина, мм|300
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/1224007/1200x800/51416288.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/1224007/1200x800/51416289.jpg;1;boltorez-bars-300-mm-12-78571
00000001574;78530;"Болторез 350 мм/14"" MATRIX 78530";Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;MATRIX;"Болторез 350 мм/14"" MATRIX 78530 - это специальный ручной инструмент, предназначенный для перекусывания болтов, арматуры, стержней, проволоки и пр. Двойной рычажный механизм значительно облегчает резку. Инструмент прочен и надежен в использовании. Он изготовлен из качественной стали, его губки закалены до твердости 58–60 HRc.";"Характеристики|Диаметр прутка, мм|5
Характеристики|Материал губок|инструментальная сталь
Характеристики|Рукоятки-чехлы|резиновые
Характеристики|Вес нетто, кг|0,973
Характеристики|Длина, мм|350
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/548015/1200x800/52589348.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/548015/1200x800/52589349.jpg;1;boltorez-350-mm14-matrix-78530
00000015004;78535;Болторез 450 мм MATRIX 78535;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;MATRIX;Болторез 450 мм MATRIX 78535 применяется для перекусывания стальной проволоки, болтов и арматурных стержней. Инструмент имеет двойной рычажный механизм, облегчающий перекусывание. Режущие кромки рабочих губок закалены до твердости 58–60 HRc.;"Характеристики|Диаметр прутка, мм|6
Характеристики|Вес нетто, кг|1,595
Характеристики|Длина, мм|450
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/517047/1200x800/51085484.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/517047/1200x800/51085485.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/517047/1200x800/51085486.jpg;1;boltorez-450-mm-matrix-78535
00000015005;78540;Болторез 600 мм MATRIX 78540;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;MATRIX;Болторез 600 мм MATRIX 78540 служит для удаления болтов различного типа, перерубания тросов, проволок, металлических стержней. Длинные рычажные рукоятки оснащены эргономичными накладками, для более комфортного выполнения работ. Ручки оптимально передают усилие на режущие кромки. Режущие кромки - НRC 56-58, рукоятки - сталь 45.;"Характеристики|Диаметр прутка, мм|8
Характеристики|Рукоятки-чехлы|резиновые
Характеристики|Длина, мм|600
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534743/1200x800/51085487.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534743/1200x800/51085488.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534743/1200x800/52589579.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534743/1200x800/51085489.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534743/1200x800/52589580.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534743/1200x800/52589581.jpg;1;boltorez-600-mm-matrix-78540
00000015006;78545;Болторез 750 мм MATRIX 78545;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;MATRIX;Болторез 750 мм MATRIX 78545 оснащен длинными рычажными рукояткам для максимальной передачи усилия. Изделие выполнено из инструментальной стали. Болторез используется для перекусывания стальной проволоки, болтов и арматурных стержней.;"Характеристики|Диаметр прутка, мм|10
Характеристики|Рукоятки-чехлы|резиновые
Характеристики|Длина, мм|750
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534751/1200x800/52024986.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/534751/1200x800/52024987.jpg;1;boltorez-750-mm-matrix-78545
00000001575;2330-020;Болторез STAYER Мастер МИНИ 2330-020;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;STAYER;Болторез Блокхаус STAYER Мастер МИНИ 2330-020 - износостойкий ручной инструмент для перекусывания стальных прутьев и проволоки диаметром до 5 мм. Удобная конструкция с регулируемыми губками и прорезиненными рукоятками дают возможность перекусывать материалы любой прочности без особого труда.;"Характеристики|Вес нетто, кг|0,25
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/90065/1200x800/51071067.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/90065/1200x800/51071068.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/90065/1200x800/51071069.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/90065/1200x800/51071070.jpg;1;boltorez-stayer-master-mini-2330-020
00000013705;23311-035-z01;Болторез ЗУБР ЭКСПЕРТ 23311-035_z01;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;ЗУБР;Болторез ЗУБР ЭКСПЕРТ 23311-035_z01 имеет профессиональное назначение, так как оснащен мощной рычажной системой, увеличивающей усилие, передаваемое на режущие кромки, в 2 раза. Позволяет перекусывать достаточно большие по диаметру металлические пруты и стержни. Размер инструмента -350 мм.;"Характеристики|Материал губок|CrMo
Характеристики|Длина, мм|350
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/211558/1200x800/52635421.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/211558/1200x800/52635422.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/211558/1200x800/52635423.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/211558/1200x800/52635424.jpg;1;boltorez-zubr-ekspert-23311-035_z01
00000002008;41821;Мини-болторез 200 мм FIT 41821;Инструменты|Ручной инструмент|Болторезы;Инструменты|Ручной инструмент|Болторезы;FIT;Мини-болторез 200 мм FIT 41821 - это очень прочные миниатюрные арматурные ножницы для раскусывания проволоки или болтов, режущая способность которых достигает 5 мм. Данный инструмент имеет пластиковые накладки на ручках, режущие части изготовлены из усиленной инструментальной стали, благодаря чему значительно возрастает рабочий ресурс.;"Характеристики|Диаметр прутка, мм|5
Характеристики|Материал губок|инструментальная сталь
Характеристики|Рукоятки-чехлы|пластиковые
Характеристики|Длина, мм|200
Характеристики|Диэлектрическое покрытие|нет
";catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/533090/1200x800/51655418.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/533090/1200x800/51655419.jpg,catalog/goods/ruchnoj-instrument/sharnirno-gubtsevyj-instrument/533090/1200x800/51655420.jpg;1;mini-boltorez-200-mm-fit-41821
